,source,target,spec2vec,matched_peaks,_merge,cosine
264,280,374,0.0,14.0,left_only,0.7606624231680389
265,280,414,0.0,20.0,left_only,0.7631544890455566
266,280,470,0.0,11.0,left_only,0.7831970752461825
267,280,515,0.0,10.0,left_only,0.8527353998140375
268,280,643,0.0,14.0,left_only,0.8707907608949628
269,280,655,0.0,9.0,left_only,0.8163259175586751
270,373,274,0.0,7.0,left_only,0.9051864037939555
271,373,374,0.0,9.0,left_only,0.809783915830772
272,373,470,0.0,12.0,left_only,0.8222917376591656
273,373,515,0.0,8.0,left_only,0.9134220309777841
274,373,643,0.0,12.0,left_only,0.7923163072177641
275,373,655,0.0,7.0,left_only,0.8690686765613473
276,373,661,0.0,7.0,left_only,0.7008452315252727
277,373,663,0.0,12.0,left_only,0.7237355757889089
278,470,274,0.9054759268057901,27.0,both,0.9700654477905041
279,470,374,0.0,11.0,left_only,0.7055192594851878
280,470,515,0.0,12.0,left_only,0.7966354893824397
281,470,630,0.0,13.0,left_only,0.8580781703540112
282,470,654,0.0,30.0,left_only,0.846783020034219
283,470,655,0.0,22.0,left_only,0.945522636923761
284,470,663,0.0,31.0,left_only,0.9589447340125614
285,470,670,0.0,11.0,left_only,0.8534173503745374
286,470,672,0.0,15.0,left_only,0.8591832075360776
287,470,673,0.0,7.0,left_only,0.8386106436364441
288,470,675,0.0,7.0,left_only,0.8379767165174581
289,655,274,0.9172575368868734,21.0,both,0.9708474054882382
290,655,374,0.0,7.0,left_only,0.7604440055024797
291,655,515,0.0,8.0,left_only,0.861372107495609
292,655,630,0.0,11.0,left_only,0.9139088004080944
293,655,654,0.0,25.0,left_only,0.8844579493929285
294,655,663,0.0,24.0,left_only,0.9347036073405375
295,655,664,0.0,7.0,left_only,0.909363726081099
296,655,670,0.0,10.0,left_only,0.9122440228279449
297,655,672,0.0,11.0,left_only,0.9149734134935206
298,655,673,0.0,8.0,left_only,0.9101577900903052
299,663,274,0.0,27.0,left_only,0.9169697812831331
300,663,515,0.0,12.0,left_only,0.7036706524789181
301,663,611,0.0,27.0,left_only,0.729804408912548
302,663,630,0.0,13.0,left_only,0.7599888908569873
303,663,654,0.0,35.0,left_only,0.9448067099322924
304,663,664,0.0,8.0,left_only,0.7605212690674618
305,663,670,0.0,11.0,left_only,0.7568173880669148
306,663,672,0.0,15.0,left_only,0.76158409615772
307,663,673,0.0,7.0,left_only,0.7454510514831963
308,663,675,0.0,7.0,left_only,0.7415991588135159
309,663,676,0.0,7.0,left_only,0.7356497875357944
310,199,299,0.0,20.0,left_only,0.7597217834564407
311,214,216,0.0,26.0,left_only,0.7687146774068512
312,239,538,0.0,25.0,left_only,0.8384662162545401
313,251,364,0.0,9.0,left_only,0.8332466914759383
314,364,300,0.0,7.0,left_only,0.9204531405365469
315,252,644,0.0,8.0,left_only,0.8136197740588572
316,253,497,0.0,12.0,left_only,0.9415823529319615
317,253,585,0.0,11.0,left_only,0.8453850837908913
318,253,592,0.0,14.0,left_only,0.9079259640152428
319,497,585,0.0,10.0,left_only,0.8395924267086621
320,497,592,0.0,12.0,left_only,0.9407899563563519
321,585,592,0.0,10.0,left_only,0.8048115117371427
322,274,374,0.0,10.0,left_only,0.7834434439671909
323,274,515,0.0,10.0,left_only,0.8843599595850424
324,274,630,0.0,11.0,left_only,0.9451145465349751
325,274,654,0.0,26.0,left_only,0.8063386496680969
326,274,670,0.0,10.0,left_only,0.9423586876768828
327,274,672,0.0,14.0,left_only,0.9459763027514573
328,374,515,0.0,25.0,left_only,0.952232604646537
329,374,630,0.0,8.0,left_only,0.839114894616166
330,374,634,0.0,12.0,left_only,0.8883344397763235
331,374,661,0.0,28.0,left_only,0.8882911474183833
